classification,days,avg_daily_net_pnl,median_daily_net_pnl,profitable_day_rate,avg_daily_trades
Extreme Fear,14,51087.25818218665,21159.93031310355,64.28571428571429,1528.5714285714287
Fear,91,35875.80761503127,1308.453619,71.42857142857143,679.5274725274726
Neutral,67,18709.64786934521,1565.08653936,67.16417910447761,562.4776119402985
Greed,193,10813.629953221925,608.256404,69.43005181347151,260.6373056994819
Extreme Greed,114,23580.18109831447,3050.357294,86.8421052631579,350.8070175438597
