date,classification,daily_net_pnl,daily_volume_usd,daily_trades,daily_accounts
2024-02-28,Extreme Greed,2505.124387,171107.13,45,1
2024-02-29,Extreme Greed,9812.637907,395666.73,116,2
2024-03-01,Extreme Greed,8244.788263,472974.7,137,1
2024-03-02,Extreme Greed,231.36972899999995,63197.56,31,2
2024-03-03,Extreme Greed,8363.593348,390745.68,79,1
2024-03-04,Extreme Greed,27800.335191,1577996.87,300,2
2024-03-05,Extreme Greed,19795.464500000002,841810.32,180,1
2024-03-06,Extreme Greed,6818.1804569999995,327218.02,82,1
2024-03-08,Extreme Greed,4275.557865,183583.18,67,1
2024-03-09,Extreme Greed,9947.64986,658178.75,117,1
2024-03-10,Extreme Greed,2480.646128,219973.85,42,1
2024-03-11,Extreme Greed,3579.7066050000003,176519.44999999998,42,1
2024-03-12,Extreme Greed,3034.220047,103040.85,8,1
2024-03-13,Extreme Greed,-2.100278,6000.799999999999,7,1
2024-03-14,Extreme Greed,3454.14904,205933.18,18,2
2024-03-15,Extreme Greed,6187.0286479999995,351894.41,62,3
2024-03-16,Extreme Greed,218.05156,37223.66,8,2
2024-03-17,Extreme Greed,469.5306259999999,99506.95,23,3
2024-03-18,Extreme Greed,1432.01442,90458.08,19,3
2024-03-19,Extreme Greed,642.809661,219884.84,24,3
2024-03-20,Greed,6383.255760999999,215705.85,69,2
2024-03-21,Extreme Greed,2319.1133250000003,117895.57,28,3
2024-03-24,Greed,1288.12964,92592.20999999999,19,1
2024-03-25,Extreme Greed,1282.925716,57116.32,7,1
2024-03-26,Extreme Greed,3187.7591899999998,198565.19,118,2
2024-03-27,Extreme Greed,118.693188,99864.79,38,2
2024-03-28,Extreme Greed,218.791779,35323.72,13,2
2024-03-29,Extreme Greed,852.677374,86914.37,15,1
2024-03-30,Extreme Greed,1090.635686,101103.92,45,1
2024-03-31,Extreme Greed,898.8166229999999,39912.96,13,1
2024-04-01,Extreme Greed,2424.212044,339470.47,77,2
2024-04-02,Extreme Greed,803.628238,239664.50999999998,41,2
2024-04-03,Greed,125.12719899999999,16887.57,4,2
2024-04-04,Greed,-33.595684999999996,95987.73,32,1
2024-04-05,Extreme Greed,10603.054168,503791.8,100,3
2024-04-06,Extreme Greed,212.45685699999999,68223.67,16,1
2024-04-07,Extreme Greed,-17.495845,49988.14,23,1
2024-04-08,Extreme Greed,1156.636152,211940.64,30,2
2024-04-09,Extreme Greed,-19.972341,57063.840000000004,3,1
2024-04-10,Extreme Greed,5084.335852,351735.97,41,1
2024-04-11,Extreme Greed,363.002835,76400.96,16,1
2024-04-12,Extreme Greed,-690.206714,442088.59,129,3
2024-04-13,Greed,6502.452579000001,486411.25,89,2
2024-04-14,Greed,-36317.489924,659162.17,107,2
2024-04-15,Greed,3733.438116,291111.19,41,2
2024-04-16,Greed,2449.244536,181907.17,47,2
2024-04-17,Greed,2430.8474370000004,97562.99,14,1
2024-04-19,Greed,1828.4052020000001,337257.92000000004,35,1
2024-04-20,Greed,-121.289047,60733.24,22,2
2024-04-22,Greed,-16.797764,47993.61,9,1
2024-04-23,Greed,1048.2277199999999,233054.9,66,2
2024-04-24,Greed,229.73959100000002,141275.24,20,1
2024-04-25,Greed,-160.159512,120241.01,74,2
2024-04-26,Greed,-1.745898,4988.290000000001,3,1
2024-04-27,Greed,4227.495589,154264.47,27,1
2024-04-28,Greed,-15.394946,43985.6,58,2
2024-04-29,Greed,488.889206,108699.01,45,2
2024-04-30,Greed,-43.75655,125018.75,24,1
2024-05-01,Neutral,-30.458908,87025.45,14,1
2024-05-03,Neutral,5207.106364,282682.64999999997,36,3
2024-05-04,Greed,-20.649559,58998.75,9,2
2024-05-05,Greed,-7.496778,24068.350000000002,6,2
2024-05-06,Greed,896.484634,206016.43,9,1
2024-05-07,Greed,845.4986319999999,108717.58,18,3
2024-05-08,Greed,-21.511066,65973.57,13,2
2024-05-09,Greed,1069.9077240000001,221966.12,28,2
2024-05-10,Greed,2046.833005,156882.0,22,1
2024-05-11,Neutral,229.46761700000002,63248.95,9,1
2024-05-12,Greed,-19.312829,55179.56,23,2
2024-05-13,Greed,2069.26226,193118.9,28,2
2024-05-14,Greed,1099.4746200000002,145853.4,23,1
2024-05-15,Greed,866.747695,234922.57,36,1
2024-05-16,Greed,157.67248,162620.96,27,2
2024-05-18,Greed,3478.188569,126303.14,25,1
2024-05-19,Greed,-10.499327000000001,29998.09,8,1
2024-05-20,Greed,-88.162104,38124.75,10,2
2024-05-21,Extreme Greed,6904.065627999999,1100948.59,125,2
2024-05-22,Extreme Greed,-15.748349000000001,44995.29,6,1
2024-05-23,Extreme Greed,299.91725,401850.6,325,3
2024-05-24,Greed,804.165113,50811.899999999994,2,1
2024-05-25,Extreme Greed,3.879151999999998,29991.129999999997,16,2
2024-05-26,Extreme Greed,759.915709,53976.67,16,2
2024-05-27,Greed,1083.523404,151115.72,251,1
2024-05-29,Greed,240.915354,84268.76,164,2
2024-05-30,Greed,19.958107,2838.09,7,1
2024-05-31,Greed,24.085473999999998,3636.14,13,1
2024-06-01,Greed,87.018313,12834.62,25,1
2024-06-02,Greed,185.114035,29464.51,93,1
2024-06-03,Greed,557.430122,21466.86,70,1
2024-06-04,Greed,44.778485,24243.41,53,1
2024-06-05,Extreme Greed,48.951446000000004,25350.77,54,1
2024-06-06,Extreme Greed,237.093763,137557.76,234,1
