Account,classification,trades,total_net_pnl,avg_net_pnl,avg_size_usd,positive_trade_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,124625.229446,1246.25229446,15071.008600000001,37.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,1110127.701763,624.3687861434196,17020.494876265468,52.64341957255343
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,124348.968632,295.36572121615205,23336.999311163898,58.19477434679335
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,275800.917329,480.48940301219517,15134.130383275262,16.02787456445993
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,-42078.309494999994,-44.52731163492063,12080.27055026455,6.666666666666667
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,-4298.44359818,-25.284962342235293,2156.074411764706,30.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,-2234.76957251,-0.8523148636575134,981.595171624714,47.17772692601068
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,-12194.69403239,-16.93707504498611,1506.4890555555558,36.11111111111111
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,28666.67704704,9.740631004770643,2204.2242779476724,40.16309887869521
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,35216.71278151,42.68692458364849,1846.6767272727272,57.6969696969697
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,15525.749777,19.48023811417817,6131.710464240904,37.39021329987453
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,26205.068284,14.02840914561028,7222.6180513918625,34.100642398286936
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,-20426.394111,-34.10082489315526,8093.856811352254,0.0
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,-102780.096282,-190.33351163333333,19419.792833333337,23.88888888888889
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,1758.4981639999999,351.69963279999996,31941.660000000003,80.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,-25820.018502275,-44.982610631141114,806.9836411149826,27.874564459930312
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,13152.948826873,9.40167893271837,656.0465117941386,42.81629735525375
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,5334.5025002511,6.014095265221083,687.0997632468997,45.659526493799326
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,30700.34344381,10.336815974346802,501.44102693602696,44.612794612794616
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,106878.67091889,14.286682384559551,438.0787434834915,43.97807779708595
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,11323.76357,101.105031875,2477.321696428571,68.75
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,3807.576182,9.993638272965878,1534.1833595800524,43.30708661417323
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,41313.301285,40.70275988669951,3194.968620689655,57.536945812807886
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,19741.859273,78.0310643201581,4041.240158102767,52.569169960474305
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,89363.307962,60.4623193247632,3409.7221921515566,48.6468200270636
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,-57009.547784,-216.76634138403043,1620.1930798479086,11.02661596958175
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,-515.8015870000002,-2.0148499492187506,1320.9939453125,22.65625
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,-1231.7127629999998,-37.324629181818175,1207.8618181818183,60.60606060606061
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,-3561.5383175,-34.91704232843137,1532.4567647058823,72.54901960784314
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,30967.92570212,192.347364609441,2791.594658385093,45.962732919254655
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,-76806.45705766,-46.047036605311746,4041.219688249401,30.215827338129497
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,54195.205666,36.84242397416723,4219.732807613868,32.22297756628144
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,10791.845975,39.67590431985294,10901.87974264706,41.544117647058826
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,10497.57873528,166.62823389333332,11643.763492063492,44.44444444444444
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,14320.088891309999,124.52251209834782,4752.3967826086955,49.56521739130435
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,104.115634,5.479770210526316,3388.287368421053,100.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,4212.695339923,53.32525746737974,4272.7372151898735,62.0253164556962
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,8012.789628,4006.394814,31867.690000000002,50.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,4222.455692240001,162.4021420092308,4772.490384615385,50.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,36767.91677292,178.4850328782524,2690.061310679612,36.89320388349515
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,9434.75608,154.6681324590164,2446.7424590163937,4.918032786885246
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,99590.422055021,1016.2287964798061,6300.139081632653,35.714285714285715
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,74265.008071,1547.1876681458334,4225.696458333333,52.083333333333336
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,11984.657952000001,176.24496988235296,9856.075588235295,2.941176470588235
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,3962.781485,36.69242115740741,3220.5196296296294,23.14814814814815
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,-44.005053,-0.5570259873417721,5570.2651898734175,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,5548.824815,23.41276293248945,2535.9212236286917,10.126582278481013
