classification,trades,active_days,active_accounts,traded_coins,total_volume_usd,total_closed_pnl,total_fees,total_net_pnl,avg_net_pnl_per_trade,median_net_pnl_per_trade,positive_trade_rate,realized_trade_share,mean_roi_proxy,median_roi_proxy,net_pnl_to_volume,net_pnl_per_million_volume
Extreme Fear,21400,14,32,85,114484261.44,739110.24849,23888.6339393869,715221.6145506131,33.421570773393135,-0.0059584849999999995,36.84579439252336,48.626168224299064,0.004108031225020195,-4.799993376884195e-05,0.0062473357084585224,6247.335708458522
Fear,61837,91,32,134,483324789.79,3357155.441642,92456.9486741548,3264698.4929678454,52.79522766252964,-0.005752,41.15173763280884,48.20414961916005,0.014924995413923932,-4.799751950803576e-05,0.00675466800365511,6754.668003655111
Neutral,37686,67,31,147,180242063.08,1292920.67555,39374.2683038708,1253546.4072461291,33.262920109487055,-0.007516,39.59029878469458,48.18500238815475,0.009511162528431991,-4.999902463747325e-05,0.0069547939355850885,6954.793935585089
Greed,50303,193,31,193,288582494.72,2150129.272951,63098.6919791683,2087030.5809718317,41.4891871453359,-0.010485,39.12490308729102,50.048704848617376,0.01939793014597454,-5e-05,0.00723200685820113,7232.00685820113
Extreme Greed,39992,114,30,165,124465164.57,2715171.310673,27030.66546515,2688140.64520785,67.21695952210067,-0.00114849,46.769353870774154,52.142928585717144,0.03977347202998071,-9.420698533411494e-06,0.021597534173475683,21597.534173475684
