Account,Coin,Execution Price,Size Tokens,Size USD,Side,Timestamp IST,Start Position,Direction,Closed PnL,Transaction Hash,Order ID,Crossed,Fee,Trade ID,Timestamp,date,classification,value,net_pnl,is_profitable,has_realized_pnl,abs_net_pnl,size_usd_safe,net_roi_proxy,regime
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,EIGEN,2.833,10000.0,28330.0,BUY,2024-10-26 04:44:00,-32797.51,Close Short,11655.0,0x4da9426d2bf6ec027d8404152f9bad02010700c745ebcad54a00dcb3f0ba0858,40671411386,False,2.71968,83500000000000.0,1730000000000.0,2024-10-26,,,11652.28032,1,1,11652.28032,28330.0,0.4113053413342746,Unknown
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,EIGEN,2.711,10797.51,29272.05,BUY,2024-10-26 04:52:00,-22797.51,Close Short,13901.79413,0x66588e180b942ff0e4d104152fb6f20000ac4ae48a39f0c7079c63caba11595f,40671438761,False,2.810115,323000000000000.0,1730000000000.0,2024-10-26,,,13898.984015,1,1,13898.984015,29272.05,0.47482099870012523,Unknown
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,EIGEN,2.5889,6908.33,17884.98,BUY,2024-10-26 04:52:00,-12000.0,Close Short,9737.981968,0x66588e180b942ff0e4d104152fb6f20000ac4ae48a39f0c7079c63caba11595f,40671466136,False,1.716957,1070000000000000.0,1730000000000.0,2024-10-26,,,9736.265011,1,1,9736.265011,17884.98,0.5443822140701303,Unknown
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,EIGEN,2.5889,529.39,1370.54,BUY,2024-10-26 04:52:00,-5091.67,Close Short,746.228144,0x66588e180b942ff0e4d104152fb6f20000ac4ae48a39f0c7079c63caba11595f,40671466136,False,0.13157,877000000000000.0,1730000000000.0,2024-10-26,,,746.096574,1,1,746.096574,1370.54,0.5443814656996513,Unknown
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,EIGEN,2.5889,38.65,100.06,BUY,2024-10-26 04:52:00,-4562.28,Close Short,54.48104,0x66588e180b942ff0e4d104152fb6f20000ac4ae48a39f0c7079c63caba11595f,40671466136,False,0.009605,982000000000000.0,1730000000000.0,2024-10-26,,,54.471435,1,1,54.471435,100.06,0.5443877173695783,Unknown
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,EIGEN,2.5889,4523.63,11711.23,BUY,2024-10-26 04:53:00,-4523.63,Close Short,6376.508848,0x39ce7efcc1773fd0eec704152fbcb4010100c8beadd49f6e9918dac765f0f600,40671466136,False,1.124277,936000000000000.0,1730000000000.0,2024-10-26,,,6375.3845710000005,1,1,6375.3845710000005,11711.23,0.5443821503804469,Unknown
